title,text,date,label
"Japan to propose strategic dialogue with U.S., India and Australia: Nikkei","TOKYO (Reuters) - Japan will propose a strategic dialogue among leaders of the United States, India and Australia, aiming at counteracting China s expansion under its  Belt and Road  policy, Foreign Minister Taro Kono told the Nikkei business daily. Prime Minister Shinzo Abe is expected to propose the idea to U.S. President Donald Trump on Nov. 6 when they plan to hold a summit meeting, said the Nikkei on Thursday.  The proposal is for the leaders of the four nations to promote free trade and defense cooperation across the land and sea to Southeast, South and Central Asia, and beyond to the Middle East and Africa, Kono said in the interview with the Nikkei conducted on Wednesday.  We are in an era when Japan has to exert itself diplomatically by drawing a big strategic picture,  Kono was quoted as saying.  To maintain free and open ocean, the economy and security will surely be on the table,  he said. Kono said the aim was to also promote high-quality infrastructure investment across Asia to Africa. Chinese President Xi Jinping s vast  Belt and Road  infrastructure project was included in the ruling Communist Party s constitution on Tuesday, giving it greater policy heft and added pressure to succeed. The  Belt and Road  plan, a  Silk Road -like initiative, is a vehicle for China to take a greater role on the international stage by funding and building global transport and trade links in more than 60 countries. Kono also said putting pressure on North Korea would  certainly be necessary  to make Pyongyang dismantle its missile and nuclear development, according to the Nikkei. He said if North Korea accepted a review by International Atomic Energy Agency it would be  the most trustworthy  option for conditions for talks between Pyongyang and the international community.",2017-10-26,True
GOP Rep. Steve King: The Time ‘Has Passed’ For Release Of Trump’s Tax Returns (VIDEO),"Donald Trump s refusal to release his tax returns has been an issue that has dogged him for his entire campaign. While it is not legally required for presidential candidates to release those documents, it has been tradition for them to do so in the interest of transparency for the electorate. However, Trump refuses. He uses being audited as an excuse, but that makes no sense since all of the returns from previous years are not being audited, and, even if they were, that would not prevent him from releasing them. Trump isn t releasing his taxes because there is something in there that he doesn t want us all to see. It s as simple as that.Well, GOP Rep. Steve King made an appearance on MSNBC s Morning Joe on Monday morning, and of course, Trump s tax returns became a topic of conversation. Rep. King says of the matter: I just think the window for that has passed. When he said that he wouldn t release his returns till the audit was over, and he d been being audited for 13 years, I d say that for him to release them is just a forgone conclusion. Donald Trump will not release his tax returns. King added: If he drops it now, into this presidential intense sprint around to the final turn part of the race, I think that would be the only discussion we would hear all the way until November. Well, Rep. King, they ll be talking about it anyway. Trump should release his returns so that people can see that he has nothing to hide. You re right in saying that it is way past time for him to release these tax documents, and you re likely right that he won t do it, because there s probably some very damning things in there that would hurt his candidacy even more than the heat he is taking for refusing to release.Watch Rep. King s remarks below:.@SteveKingIA: The window for Trump tax returns has passed https://t.co/lPQJ34Kaor  Morning Joe (@Morning_Joe) August 15, 2016Featured image via video screen capture",2016-08-15,False
Trump Gets CHEWED OUT After Insulting Obamacare Patients By Calling Them ‘Victims’,"People who owe their lives to the Affordable Care Act ripped Donald Trump a new one on Wednesday for referring to them as victims of the healthcare program.Only one day after sticking his foot in his mouth by bragging about himself and attacking one of our allies instead of honoring those who died on D-Day 73 years ago, Trump decided to do it again while announcing a visit to Ohio.Trump declared that he would be meeting with  Obamacare victims,  which immediately pissed off all the people who rely on the Affordable Care Act.Getting ready to leave for Cincinnati, in the GREAT STATE of OHIO, to meet with ObamaCare victims and talk Healthcare & also Infrastructure!  Donald J. Trump (@realDonaldTrump) June 7, 2017Obamacare and the Affordable Care Act are the same program and even conservatives rely on it. The program has saved lives and given tens of millions of Americans access to health insurance that they previously could not afford.Trump has repeatedly tried to strip healthcare away from millions of Americans by pushing for repeal of the law and his administration has been chipping away at the Affordable Care Act to make it weaker so that Trump can sit on his ass and tweet about how the program is  failing. Those who have insurance thanks to Obamacare were quick to jump down Trump s throat and reminded him that s he s the one who is victimizing people.Obamacare victims? That s rich coming from someone who is pushing hard to yank 23M citizens off of healthcare.  Adam Best (@adamcbest) June 7, 2017You are sabotaging Obamacare and don t care about the collateral damage. You, Donald Trump, are creating those victims.  Adam Best (@adamcbest) June 7, 2017You are so wrong. Obamacare saved my mother s life. She had breast cancer, was discriminated against most of her life by insurance co s.  Adam Best (@adamcbest) June 7, 2017Ohio just lost Anthem thanks to Trumpcare. These are Trumpcare victims. Even our GOP Gov opposes Trumpcare. Obamacare helped 100,000s here  David Pepper (@DavidPepper) June 7, 2017How about you talk about how your charity and that of your son Eric cheated donors out of helping cancer patients?  Jeremy Greenfield (@jdgreenfield) June 7, 2017The insurance companies are explicitly blaming Trump for market troubles:https://t.co/3zQx6c5Pvd  Windhorse (@Windhorse_1) June 7, 2017Mr. President I have Crohn s Disease.  ObamaCare  for me is great insurance coverage on par with anything I ve had in group, not a  victim  Don Kramer (@DonKramerATL) June 7, 2017Too bad you don t care about the people that will lose their insurance under RyanCare. You just want the tax cut. Sad.  Dave Hogg ? (@Stareagle) June 7, 2017You are a liar and are going to kill more people than help. RESIGN.  Robin (@puppymnkey) June 7, 2017Victims? Like my mom who had cancer and only got covered because of Obamacare?  Alexandra Jamieson (@deliciousalex) June 7, 2017Actually, they are soon-to-be victims of wealthcare pushed by you and your heartless and vampiric oligarchs.  Geesubay (@geesubay) June 7, 2017Hey as*hole, I m an Obama care victim. U know what it did for me? Saved my life which is more than I can say about your proposed death panel  Karen Hunter (@Kalamity_K) June 7, 2017If Donald Trump gets his way, Obamacare will be repealed and millions of Americans, including many conservatives, will lose their healthcare. At that moment, millions of Americans really will be victims. But they won t be victims of Obamacare, they ll be victims of Trumpcare.Featured Image: Win McNamee/Getty Images",2017-06-07,False
Germany's surging far-right promises to disrupt cozy parliament,"MUNICH/POTSDAM, Germany (Reuters) - More than 8,000 people   including hecklers blowing whistles    showed up in Munich for one of German Chancellor Angela Merkel s final speeches before Sunday s national election that is expected to sweep her into a fourth term. Merkel, whose conservatives have a solid double-digit lead over the Social Democrats, largely ignored jeers from hundreds of left- and right-wing demonstrators to deliver a stump speech focused on stability, security and a promise to avoid tax increases.  Get lost,   Merkel must go,  shouted some demonstrators as curious foreign tourists, in Munich for its famous Oktoberfest,  snapped photographs of the German leader first elected in 2005. Merkel, who has faced down similar heckling at many other  rallies, especially in the former Communist east, admonished the peaceful but boisterous crowd:  Whistling and yelling certainly won t ensure the future of our country.  Merkel defended her 2015 decision to allow in about one million migrants as a humanitarian necessity but said she would prevent a repeat of the migrant crisis by doing more to fund programs in at-risk countries to keep people from fleeing.  What happened in 2015 cannot and will not be repeated,  Merkel said, saying she would protect Europe s borders. At Berlin s Gendarmenmarkt, Merkel s main rival, SPD leader Martin Schulz urged supporters to make their voices heard, saying that high voter turnout could help offset growing support for the far-right Alternative for Germany (AfD). Schulz, flanked by hundreds of red balloons, decried the AfD as  gravediggers of democracy,  and said his party, which also opposed the rise of Nazis in the 1930s, would do all it could to fight the anti-immigrant group.  You are our enemies and we will defend democracy in Germany,  he said.  The more people vote, the smaller will be the share of the far-right.   Schulz told Bild newspaper he had not given up hope of victory and 37 percent of voters were still undecided. Support for the AfD, which was founded in 2013 during the euro zone crisis but has won support since 2015 with its anti-immigrant rhetoric, is running around 11 percent. That means it will become the first far-right party in more than half a century to clear the 5 percent hurdle and enter parliament. The AfD, which has already won seats in 13 of 16 state legislatures, promised to reenergize debate there after four years of  grand coalition  rule by the two major parties.  It must get into the Bundestag lower house so that debates happen again,  the AfD s top candidate Alexander Gauland told Reuters in Brandenburg s regional parliament.  This parliament...has become totally boring.  Gauland said the AfD would bring in  completely different political suggestions  after four years of agreement between the parties of Merkel and Schulz on issues ranging from sanctions against Russia, the NSA spying scandal or on the refugee issue. Schulz described Gauland as  shameless . Gauland provoked outrage by saying at a recent rally that Germans should no longer be reproached with the Nazi past and should take pride in their World War Two soldiers.  The language that he speaks is the language of the Harzburger Front,  Schulz said, referring to a radical right-wing alliance in Weimar Germany.  The gravediggers of the Weimar democracy, they spoke like Mr Gauland.  The mainstream parties have ruled out working with the AfD, which may emerge as the third largest party; but Gauland said it would ultimately work toward being able to govern in the medium or long-term. Electoral arithmetic might yet push Merkel into another grand coalition with the SPD, or she may enter a three-way  alliance with the pro-business Free Democrats (FDP) and environmental Greens. The Forsa poll showed support for Merkel s conservatives holding steady on 36 percent, while the SPD ceded 1 percentage point to 22 percent.  An Emnid poll put Merkel s CDU and its Bavarian sister party at 35 percent, while the SPD was at 22 percent.",2017-09-22,True
U.S. does not recognize Kurdish independence vote in Iraq: Tillerson,"WASHINGTON (Reuters) - The United States does not recognize the independence referendum in Iraqi Kurdistan and urges an end to “threats of reciprocal actions,” U.S. Secretary of State Rex Tillerson said in a statement on Friday. “The United States does not recognize the Kurdistan Regional Government’s unilateral referendum held on Monday. The vote and the results lack legitimacy and we continue to support a united, federal, democratic and prosperous Iraq,” Tillerson said. “We urge calm and an end to vocal recriminations and threats of reciprocal actions,” he added.",2017-09-29,True
Biden Says He’s ‘Ready’ For A Woman President (VIDEO),"Vice President Joe Biden has been careful to give Hillary Clinton and Bernie Sanders their fair share of lauding and criticism. Like President Obama, Biden has not endorsed any candidate for the 2016 race, and has pledged to stay neutral until a nominee is decided at the convention.But in a telling interview with Mic   in which his staffers tried to shut down   Vice President Biden may have hurled a veiled endorsement towards Clinton s way when he said he would  like to see a woman elected president. His comments, more specifically:This country s ready for a woman. There s no problem. We re gonna be able to elect a woman in this country. I would like to see a woman elected.After his staffers tried to cut the interview, Biden said he had no issues discussing the 2016 election, and reminded Mic that  the president and I are not going endorse because we both, when we ran said,  let the party decide.' Although he did not mention Clinton by name, there is only one woman in the running for the White House (unless Sanders picks a female VP or the Republicans do)  and that s Hillary Clinton. After brushing off his staff, Biden added that both candidates are qualified, but then added,  Hillary s overwhelmingly qualified to be president. Biden s comments will be an uplift to Clinton, who suffered a public humiliation after the Vice President branded her as  new  to the issues of income inequality, a staple of the Sanders campaign.Surprisingly, Biden told Mic that he does not believe Clinton is held to a higher standard because she is a woman, even though social psychology shows people do, in fact, hold women in politics to a different   higher  standard than men.Although not an official endorsement, is Biden ready for Hillary?Here s the interview, via YouTube: Featured image via Drew Angerer/Getty Images",2016-04-11,False
Republicans propose giving U.S. states option to keep Obamacare,"WASHINGTON (Reuters) - Two Republican senators said on Monday that U.S. states should be allowed to stay in the Obamacare medical insurance program if they like, with one also saying she was confused by President Donald Trump’s broad but unspecific executive order targeting the program. Trump and congressional Republicans campaigned on a promise to dismantle Obamacare, and they are working on carrying out that pledge as an early product of united Republican control of the White House and Congress. But the legislative proposal by Senators Susan Collins of Maine and Bill Cassidy of Louisiana would let states choose to keep Obamacare or move to a replacement program, for which states would also receive some federal funding. Cassidy, himself a doctor, said such an approach could help attract Democratic votes that will be needed for an eventual replacement for Obamacare, former Democratic President Barack Obama’s health insurance program approved in 2010. The proposal did not, however, win over the Senate’s leading Democrat, Chuck Schumer, who denounced the idea as an “empty facade” and a “far cry” from a full replacement for Obamacare. Democrats strongly oppose a repeal of Obamacare, officially called the Affordable Care Act. But after a meeting Monday of congressional leaders and Trump, House Democratic Leader Nancy Pelosi said Democrats were willing to discuss Republican healthcare proposals if they accomplish the same goals. “Well, we talked about the Affordable Care Act, and said, what the Affordable Care Act has been successful in doing is improving quality, expanding access and lowering costs. And any proposal that they might have that does that – we’d be interested in hearing about,” Pelosi said after the meeting at the White House. At the Republican news conference earlier, Collins called Trump’s executive order issued Friday against Obamacare “very confusing,” adding that whatever actions the Trump administration takes, legislation will still be needed to replace the law. “We really don’t know yet what the impact will be,” Collins, a moderate Republican, said, adding that it will be difficult to assess the order’s impact until there is a new Cabinet secretary in place in charge of health. Trump signed his executive order on Friday within hours of taking office. It directs U.S. agencies to “waive, defer, grant exemptions from, or delay the implementation” of provisions of Obamacare deemed to impose fiscal burdens on states, companies or individuals. The order did not specify which parts of Obamacare would be affected or the timing. Trump’s nominee to head the U.S. Department of Health and Human Services, Representative Tom Price of Georgia, has said there is no plan for “pulling the rug out” on millions of Americans’ healthcare as a replacement is designed. Any changes are unlikely to affect in 2017 the government-funded or subsidized insurance plans covering more than 20 million people.",2017-01-23,True
"Plane Passengers Get Into ALL OUT BRAWL, Then One Of Them Shouts ‘AMERICA!’ (VIDEO)","Yet another altercation has erupted on board an airplane. This time it was on board an ANA flight that looks to be returning from Japan, according to the Twitter timeline of the man who took the video.In the video you can see two men in an all-out brawl, fully fist fighting. As of now, there is no known reason why the fight took place, but the instigator seems to shout  America!  and  You think I m crazy? What about the government! The man who took the video, Corey Hour, described the event in a series of tweets: So, 10 minutes before take off a passenger starts a huge fight in his row. I get in between him and flight attendants, but he won t 1v1 me.  Corey Hour (@CoreyHour) May 1, 2017He yells,  You think I m crazy? What about the government!  Then exits the plane. 1.5 hours later and we finally take off. ? jfc  Corey Hour (@CoreyHour) May 1, 2017For the record ANA staff and passengers handled the situation with grace and respect. They did the best they could to diffuse the situation.  Corey Hour (@CoreyHour) May 2, 2017The video ended when I stepped in & confronted the man in the red shirt. I told him to leave and squared up with him, he backed down n left.  Corey Hour (@CoreyHour) May 2, 2017As of now and after speaking with the other passengers the motive for why he did this is still UNKNOWN. None of us have any idea why at all.  Corey Hour (@CoreyHour) May 2, 2017According to LADbible, who published the video, The man in the shirt was subsequently arrested for assault and public intoxication at the airport in Japan.  Seeing as they re both wearing shirts, they likely meant the guy with the torn shirt who was escorted off the plane.What is happening with people right now, more than usual, that they think violence is the answer to all their problems? Who does this? Grow up, already.Watch the crazy brawl break out here:Featured image via video screen capture",2017-05-02,False
WATCH: Black Vanderbilt Professor Exposes The REAL RACISTS In “The Inconvenient Truth About The Democrat Party”,"Why is the media not asking why Democrats are so hell-bent on vandalizing, protesting and destroying Confederate monuments, when they themselves, are the political party responsible for slavery in America? They so passionately believed in enslaving blacks, that they were willing to send their fathers and sons to war to ensure that blacks would remain slaves in the South.Americans need to ask themselves why the media never mentions  that the Democrats are the party responsible for slavery when they make them out to be some sort of heroes for attempting to whitewash (pun intended) an important part of our American history. In the video below, Vanderbilt professor Carol Swain brilliantly lays out the truth about the Democrat Party and how they have fought for decades to keep blacks down in America.",2017-08-26,False
"THIRD DEGREE “BERN!” Why Denmark Is Telling Marxist, Bernie Sanders To Stop LYING To Voters","Lying? If Bernie can successfully convince tens of thousands of college students to believe in unicorns, and pots of gold at the end of rainbows, why not convince them how well stealing from hard working Americans utopian forms of government work in other countries? Who needs facts when Bernie s got unicorns?The Danes apparently have grown weary of Sen. Bernie Sanders insulting their country. Denmark is not a socialist nation, says its prime minister. It has a  market economy. Sanders, the Democratic presidential candidate who calls himself a socialist, has used Denmark as the example of the socialist utopia he wants to create in America. During the Democrats  first debate last month, he said  we should look to countries like Denmark, like Sweden and Norway, and learn from what they have accomplished for their working people. While appearing in New Hampshire in September, Sanders said that he had  talked to a guy from Denmark  who told him that in Denmark,  it is very hard to become very, very rich, but it s pretty hard to be very, very poor. And that makes a lot of sense to me. So because something makes sense to him, he has the right to force that system on people who don t want it? Isn t that what he s saying?But we digress. This is about Danes being offending by Sanders using the word  socialist  to describe their form of government. And who can blame them, especially when the free world has had enough of national socialists and Soviet socialists and North Korean socialists and Cuban socialists?While speaking at Harvard s Kennedy School of Government, the center-right Danish Prime Minister Lars Lokke Rasmussen said he was aware  that some people in the U.S. associate the Nordic model with some sort of socialism. Therefore,  he said,  I would like to make one thing clear. Denmark is far from a socialist planned economy. Denmark is a market economy. Rasmussen acknowledged that  the Nordic model is an expanded welfare state which provides a high level of security to its citizens,  but he also noted that it is  a successful market economy with much freedom to pursue your dreams and live your life as you wish. To that we ll add that Sweden, another of Sanders  inspirations, has for decades quietly moved away from its cradle-to-grave form of government welfare. And the Swedes are better off for having done so, just as the Danes will continue to be better off as their government overhauls its welfare state.If Sanders is going to continue to use these nations to guide his governing philosophy, he should base his policy positions on what they really are, not what he thinks they are or wants them to be. These countries have learned a harsh lesson. They don t deserve to be Berned again. Via: IBD",2016-02-10,False
